Peru;108;125;130;147;164;174;192;189;190;199;208
Yemen;169;190;205;216;219;209;203;199;202;191;199
Libya;351;323;229;222;184;177;180;178;182;193;190
Indonesia;73;85;146;196;136;163;155;155;156;167;180
Estonia;41;47;59;71;81;92;111;124;140;154;176
Montenegro;-;4;24;53;86;116;131;148;160;161;173
Palestine, State of;107;110;107;107;117;133;144;144;151;156;167
Saudi Arabia;58;54;47;58;45;67;134;151;150;157;164
New Zealand;65;83;90;109;121;128;133;153;149;151;157
Bangladesh;39;54;55;63;96;117;113;121;133;143;150
Angola;172;169;167;170;180;171;168;159;154;143;142
Argentina;55;61;79;76;78;97;112;116;78;136;134
Chile;47;45;58;69;83;94;98;107;109;116;122
Tajikistan;52;58;190;219;191;142;120;113;101;115;121
Cyprus;41;48;57;67;73;81;95;96;95;102;107
Ethiopia;53;58;67;67;68;94;93;99;100;97;100
Sri Lanka;50;60;65;66;83;88;83;92;89;98;100
Venezuela, Bolivarian Republic of ;47;44;54;71;72;78;87;90;96;92;98
Cameroon;15;29;53;58;74;76;74;76;87;88;90
Congo (the Democratic Republic of the);36;42;42;49;70;83;71;71;78;78;81
Ecuador;59;64;68;73;76;77;90;86;78;75;78
Côte d'Ivoire;42;45;58;61;65;66;66;67;68;75;74
Guinea;42;48;57;56;66;68;65;67;70;75;72
Botswana;24;41;44;48;75;73;98;100;94;87;67
"Bolivia, Plurinational 
  State of";50;53;65;63;69;65;64;62;65;67;66
Kenya;35;37;43;43;46;49;54;50;52;63;65
Singapore;19;22;22;23;21;27;37;39;30;39;58
Costa Rica;31;29;30;29;32;36;44;44;47;56;57
Senegal;35;41;42;46;54;55;56;53;53;52;55
Sudan;47;45;55;42;53;58;49;43;45;46;52
Dominican Republic;8;13;17;25;28;29;30;37;39;44;48
Zambia;29;32;35;33;37;40;44;42;40;43;46
Congo;37;29;25;27;45;47;36;39;42;44;45
Benin;41;40;38;41;45;44;47;42;42;44;41
Cambodia;10;14;13;17;16;20;21;27;26;36;40
Panama;9;12;14;20;29;26;29;30;36;37;40
Turkmenistan;18;21;30;40;44;40;37;39;34;37;38
Zimbabwe;8;9;11;12;15;18;23;23;27;31;36
Iceland;14;22;28;30;31;30;28;30;32;34;35
Uganda;12;12;14;15;17;19;21;23;23;25;32
Malta;17;18;21;21;21;17;20;21;24;27;30
Mali;28;30;32;30;30;29;30;32;27;28;29
Guatemala;10;14;16;17;22;21;24;25;23;24;27
Mauritius;9;19;18;20;24;25;27;23;23;28;26
Luxembourg;15;19;21;23;17;13;19;21;23;24;25
Honduras;10;9;11;10;13;1;17;19;15;24;23
Paraguay;18;20;27;32;35;30;30;25;24;26;23
Uruguay;10;12;12;17;14;16;18;21;21;20;23
Namibia;21;26;26;24;22;24;27;24;24;23;22
Kuwait;44;30;36;26;24;19;21;19;19;21;21
El Salvador;8;10;11;9;12;14;14;15;29;23;21
Madagascar;27;25;24;27;27;29;27;26;26;23;20
Lao People's Democratic Republic;8;16;17;19;26;21;20;24;23;20;19
Tanzania, United Republic of;18;20;23;24;21;19;18;21;20;17;19
Guinea-Bissau;15;13;13;18;18;6;18;19;19;18;18
Burkina Faso;9;11;11;12;15;15;25;16;14;15;15
Gambia;4;4;4;6;8;8;7;9;11;11;15
Hong Kong;-;-;-;12;12;24;25;21;19;18;15
Nicaragua;13;13;13;13;12;13;13;12;14;14;14
Togo;9;9;10;12;13;13;11;11;12;11;14
Cape Verde;7;9;9;9;12;10;9;10;10;11;13
Sierra Leone;3;5;5;9;12;12;12;12;10;11;13
Jamaica;4;5;6;5;6;5;7;6;7;8;12
Myanmar (Barma);1;3;7;6;12;11;9;9;8;8;12
Bahrain;31;30;27;21;18;15;12;11;11;9;11
Haiti;1;1;1;1;1;14;2;6;7;7;10
Rwanda;1;2;3;4;5;4;3;4;9;9;9
Liberia;5;6;6;6;10;9;5;5;5;5;7
United Arab Emirates;7;7;7;6;6;6;7;8;7;7;7
Chad;7;7;6;6;7;7;9;6;7;6;6
Korea (the Democratic People's Republic of);333;399;127;26;25;15;11;12;8;6;6
Mozambique;5;5;6;5;4;3;4;3;3;4;6
Oman;1;1;1;-;-;-;1;-;-;-;6
Seychelles;1;2;2;2;1;2;3;3;6;6;6
Bhutan;-;-;2;1;1;1;1;1;1;3;5
Fiji;1;1;1;2;2;2;2;4;3;4;5
Guyana;5;5;5;5;5;17;6;6;5;4;5
Malawi;-;-;-;-;-;-;-;-;-;2;5
Maldives;4;4;3;2;2;2;2;2;2;2;5
Mauritania;3;3;4;4;3;4;4;5;5;6;4
Saint Lucia;2;1;2;2;2;1;3;3;3;4;4
Tonga;4;3;3;3;3;3;3;3;4;4;4
Trinidad and Tobago;1;3;3;4;3;5;4;5;5;4;4
Burundi;1;1;2;2;4;4;3;3;3;2;3
Niger;3;2;2;2;3;3;2;2;2;2;3
Belize;3;3;3;3;3;3;3;2;2;2;2
Dominica;2;1;1;1;2;-;-;-;-;2;2
Eritrea;4;3;3;3;2;2;2;2;1;2;2
Grenada;6;5;5;2;4;5;5;3;3;3;2
Somalia;1;8;15;2;10;9;2;3;4;2;2
Suriname;1;1;1;1;1;1;-;-;-;2;2
Barbados;-;-;-;-;1;1;2;2;2;1;1
Djibouti;1;1;1;1;3;3;1;1;1;1;1
Qatar;1;1;-;1;-;-;-;-;-;-;1
Lesotho;4;4;3;3;2;1;2;1;1;2;1
Liechtenstein;3;3;3;3;2;5;5;5;1;1;1
Nauru;1;-;-;-;-;-;-;-;-;1;1
Samoa;-;-;-;-;-;-;1;-;1;1;1
San Marino;1;1;1;1;1;1;1;1;1;1;1
Saint Christopher and Nevis;-;-;-;-;-;2;-;-;-;1;1
Sao Tome and Principe;2;2;2;2;2;-;2;1;2;1;1
